Date,open,high,low,close
2021-01-27,32510.8200,32584.6200,29156.0000,30407.1300
2021-01-28,30414.1100,34000.0000,29902.1400,33488.9900
2021-01-29,33487.9200,38570.1300,31990.0000,34262.1100
2021-02-01,33137.7500,34728.5700,32333.0000,33533.1900
2021-02-02,33534.3900,36000.0000,33450.0000,35512.6700
2021-02-03,35513.0000,37723.7200,35393.8000,37678.3700
2021-02-04,37688.4200,38769.0000,36156.4500,36975.0000
2021-02-05,36976.5900,38349.0000,36605.8700,38311.4900
2021-02-08,38871.4300,39714.7200,37414.4000,38879.3700
2021-02-09,46453.6600,48200.0000,45020.0000,46514.7300
2021-02-10,46514.7300,47349.9900,43706.8600,44850.0000
2021-02-18,52170.0100,52549.9900,50875.0000,51601.7300
2021-02-19,51596.0000,56370.0500,50725.0000,55983.5600
2021-02-22,57489.1600,57577.6900,46616.0000,54142.1300
2021-02-23,54125.6700,54206.2200,44888.0800,48899.9900
2021-02-24,48899.9900,51415.4100,47002.0000,49737.8200
2021-02-25,49737.8100,52107.8300,46700.0000,47058.4800
2021-02-26,47063.9000,48464.6400,44150.0000,46326.2000
2021-03-01,45231.7400,49829.0000,45042.1300,49639.4000
2021-03-02,49635.3000,50250.0000,47075.1100,48511.6000
2021-03-03,48502.1800,52666.0000,48161.7500,50360.0000
2021-03-04,50370.3300,51798.3300,47502.0000,48368.5200
2021-03-05,48370.9700,49473.9900,46219.3200,48769.4700
2021-03-08,50976.2200,52425.0000,49328.6200,52415.2300
2021-03-09,52413.1700,54936.0000,51845.0100,54916.3800
2021-03-10,54921.6100,57402.1400,53025.0000,55890.6900
2021-03-11,55888.7000,58113.0000,54283.0000,57815.4700
2021-03-12,57820.1500,58065.9200,55050.0000,57225.9100
2021-03-15,58972.7100,60601.0700,54568.0000,55636.1500
2021-03-16,55629.0800,56970.0000,53221.0000,56927.1100
2021-03-17,56924.2600,58996.3800,54138.0100,58925.5400
2021-03-18,58925.5400,60100.0000,56996.1500,57644.9500
2021-03-19,57644.9500,59461.9900,56260.0000,58039.6600
2021-03-22,57377.2900,58421.6800,53739.5000,54110.0700
2021-03-23,54111.4900,55858.0000,53000.0000,54345.5400
2021-03-24,54333.2700,57209.9700,51673.8200,52276.1600
2021-03-25,52259.6900,53238.0000,50305.0000,51325.0100
2021-03-26,51320.7600,55125.1300,51250.0000,55072.4400
2021-03-29,55781.2200,58400.0000,54900.0000,57613.4800
2021-03-30,57613.7600,59397.4800,57000.0000,58786.4600
2021-03-31,58786.4600,59800.0000,56873.8000,58800.0000
2021-04-01,58800.0100,59474.9400,57930.0000,58726.4800
2021-04-02,58726.4700,60055.0200,58441.8800,58981.0400
2021-04-06,59134.0700,59475.0000,57333.3300,58019.9800
2021-04-07,58021.6700,58630.0000,55400.0000,55955.7500
2021-04-08,55962.6700,58152.0000,55700.0000,58083.1000
2021-04-09,58083.1000,58869.6900,57670.5100,58092.6800
2021-04-12,59983.6600,61199.0000,59369.0000,59839.8200
2021-04-13,59836.8800,63774.3900,59799.0100,63588.2200
2021-04-14,63588.2200,64899.0000,61277.9100,62971.8000
2021-04-15,62971.8000,63831.8200,62036.7300,63229.0400
